Lidar Time,Lidar Heights,Radar Time,Radar Heights,Latitude,Longitude,Percent Difference
21.94791777777778,3192.5768,21.940277777777776,3656.292929292929,47.976,-118.508,13.541391430168224
21.953613055555557,3222.556,21.940277777777776,4161.343434343435,47.962,-118.554,25.4279582946923
22.37514,3192.5768,22.41611111111111,4363.363636363636,47.982,-118.543,30.989837631041144
22.37791777777778,3132.6184,22.41611111111111,3858.313131313131,47.97,-118.534,20.761031003169375
22.380695555555555,3162.5975,22.41611111111111,3555.282828282828,47.957,-118.526,11.690750924204195
22.50652888888889,3192.5768,22.53361111111111,1636.090909090909,47.972,-118.456,-64.46854431414705
22.50944638888889,3132.6184,22.53361111111111,2242.151515151515,47.984,-118.465,-33.135069925067945
24.338890833333334,4002.0153,24.342777777777776,3656.2929292929293,47.991,-118.378,-9.028687808220806
24.341806666666667,4331.7864,24.342777777777776,3959.3232323232323,47.984,-118.403,-8.984639793561639
24.347361944444444,4002.0153,24.342777777777776,4060.3333333333335,47.974,-118.452,1.4466760490168036
24.35583527777778,3132.6184,24.342777777777776,3858.313131313131,47.961,-118.527,20.761031003169375
24.358613055555555,3312.4935,24.342777777777776,3555.282828282828,47.957,-118.551,7.070391249725907
24.693195555555555,3552.3273,24.696944444444444,3050.2323232323233,48.001,-118.432,-15.209100876604367
24.695973333333335,4031.9944,24.696944444444444,4363.363636363636,47.99,-118.425,7.894106122177136
24.69875111111111,1753.5752,24.696944444444444,3858.313131313131,47.978,-118.417,75.00997194007394
24.70444638888889,4451.7031,24.696944444444444,3555.282828282828,47.955,-118.401,-22.390954092994573
24.80652861111111,3162.5975,24.815833333333334,3454.2727272727275,47.961,-118.305,8.816108439622436
24.809306666666668,3372.452,24.815833333333334,3555.282828282828,47.972,-118.312,5.27822824673981
24.812084166666665,4271.8279,24.815833333333334,3050.2323232323233,47.983,-118.319,-33.367536991614735
24.950835277777777,3462.3895,24.935,3151.242424242424,47.994,-118.356,-9.409264964294708
24.953613055555554,3192.5768,24.935,3151.242424242424,47.981,-118.356,-1.303138513141094
24.95652888888889,4361.7656,24.935,3151.242424242424,47.967,-118.356,-32.22472734892731
